objectid,identifier,occurrence_date,day_of_week,occurrence_month,occurrence_day,occurrence_year,occurrence_hour,compstat_month,compstat_day,compstat_year,offense,offense_classification,sector,precinct,borough,jurisdiction,xcoordinate,ycoordinate,location_1_zip,location_1_city,location_1_state,location_1_address,serialid
794297,b6380d61,2012-11-24T02:30:00+00:00,Saturday,Nov,24,2012,2,11,24,2012,GRAND LARCENY,FELONY,H,84,BROOKLYN,N.Y. POLICE DEPT,986713,189119,,,,,794297
793151,c86693de,2012-07-09T12:00:00+00:00,Monday,Jul,9,2012,12,8,10,2012,GRAND LARCENY,FELONY,G,1,MANHATTAN,N.Y. POLICE DEPT,982559,199560,,,,,793151
795819,8409d5ce,2011-10-28T11:00:00+00:00,Friday,Oct,28,2011,11,10,29,2011,GRAND LARCENY,FELONY,D,9,MANHATTAN,N.Y. POLICE DEPT,986667,205561,,,,,795819
796506,880efb7b,2012-10-16T09:00:00+00:00,Tuesday,Oct,16,2012,9,10,17,2012,GRAND LARCENY,FELONY,C,24,MANHATTAN,N.Y. POLICE DEPT,992664,229381,,,,,796506
795822,733283be,2011-10-28T11:00:00+00:00,Friday,Oct,28,2011,11,10,28,2011,BURGLARY,FELONY,K,45,BRONX,N.Y. POLICE DEPT,1025821,246147,,,,,795822
794302,158643a6,2012-11-24T03:30:00+00:00,Saturday,Nov,24,2012,3,11,24,2012,FELONY ASSAULT,FELONY,A,6,MANHATTAN,N.Y. POLICE DEPT,984440,204596,,,,,794302
793156,5ebbe875,2012-07-09T12:00:00+00:00,Monday,Jul,9,2012,12,8,14,2012,GRAND LARCENY,FELONY,C,23,MANHATTAN,N.Y. HOUSING POLICE,997541,226681,,,,,793156
795824,3ff34a8f,2011-10-28T11:00:00+00:00,Friday,Oct,28,2011,11,10,28,2011,FELONY ASSAULT,FELONY,M,52,BRONX,N.Y. POLICE DEPT,1019030,259746,,,,,795824
794304,e524fdeb,2012-11-24T04:00:00+00:00,Saturday,Nov,24,2012,4,11,24,2012,FELONY ASSAULT,FELONY,M,75,BROOKLYN,N.Y. HOUSING POLICE,1021009,182983,,,,,794304
796509,1c716af6,2012-10-16T09:00:00+00:00,Tuesday,Oct,16,2012,9,10,16,2012,BURGLARY,FELONY,M,52,BRONX,N.Y. POLICE DEPT,1019041,258336,,,,,796509
796510,aa703e0c,2012-10-16T09:15:00+00:00,Tuesday,Oct,16,2012,9,10,16,2012,GRAND LARCENY,FELONY,H,83,BROOKLYN,N.Y. POLICE DEPT,1007865,192736,,,,,796510
796511,60b9aa11,2012-10-16T09:28:00+00:00,Tuesday,Oct,16,2012,9,10,16,2012,ROBBERY,FELONY,Q,109,QUEENS,N.Y. POLICE DEPT,1027095,225451,,,,,796511
793162,bc0a6e05,2013-05-03T16:00:00+00:00,Friday,May,3,2013,16,5,6,2013,GRAND LARCENY OF MOTOR VEHICLE,FELONY,D,114,QUEENS,N.Y. POLICE DEPT,1008641,217474,,,,,793162
794309,e4d1bb3b,2012-11-24T04:20:00+00:00,Saturday,Nov,24,2012,4,11,24,2012,FELONY ASSAULT,FELONY,N,46,BRONX,N.Y. POLICE DEPT,1008083,250356,,,,,794309
795831,a49f3371,2011-10-28T11:40:00+00:00,Friday,Oct,28,2011,11,10,28,2011,GRAND LARCENY,FELONY,F,70,BROOKLYN,N.Y. POLICE DEPT,996102,168992,,,,,795831
796513,90a59f85,2012-10-16T09:30:00+00:00,Tuesday,Oct,16,2012,9,10,16,2012,ROBBERY,FELONY,B,115,QUEENS,N.Y. POLICE DEPT,1019770,217876,,,,,796513
794311,74330423,2011-10-28T01:30:00+00:00,Friday,Oct,28,2011,1,10,28,2011,FELONY ASSAULT,FELONY,B,79,BROOKLYN,N.Y. POLICE DEPT,1001112,187583,,,,,794311
793165,52f46e95,2013-05-03T16:00:00+00:00,Friday,May,3,2013,16,5,3,2013,GRAND LARCENY,FELONY,A,42,BRONX,N.Y. POLICE DEPT,1010864,245060,,,,,793165
794312,4c65e8ca,2011-10-28T01:30:00+00:00,Friday,Oct,28,2011,1,11,8,2011,GRAND LARCENY,FELONY,G,1,MANHATTAN,N.Y. POLICE DEPT,981515,201136,,,,,794312
795834,ab4c05be,2011-10-28T11:42:00+00:00,Friday,Oct,28,2011,11,10,28,2011,GRAND LARCENY,FELONY,E,81,BROOKLYN,N.Y. TRANSIT POLICE,1005862,190486,,,,,795834
796515,ad91402c,2012-10-16T09:45:00+00:00,Tuesday,Oct,16,2012,9,10,16,2012,BURGLARY,FELONY,K,90,BROOKLYN,N.Y. POLICE DEPT,1004008,198524,,,,,796515
794314,df13e14d,2011-10-28T01:30:00+00:00,Friday,Oct,28,2011,1,10,29,2011,ROBBERY,FELONY,C,30,MANHATTAN,N.Y. TRANSIT POLICE,999539,239499,,,,,794314
795837,3420b474,2013-05-11T11:40:00+00:00,Saturday,May,11,2013,11,5,11,2013,ROBBERY,FELONY,A,67,BROOKLYN,N.Y. POLICE DEPT,999390,177145,,,,,795837
795838,e7739691,2013-05-11T12:00:00+00:00,Saturday,May,11,2013,12,5,13,2013,BURGLARY,FELONY,B,70,BROOKLYN,N.Y. POLICE DEPT,996928,163282,,,,,795838
796518,486c4c4d,2012-10-16T09:50:00+00:00,Tuesday,Oct,16,2012,9,10,16,2012,BURGLARY,FELONY,A,34,MANHATTAN,N.Y. POLICE DEPT,1003908,251675,,,,,796518
793172,f40b2b10,2013-05-03T16:30:00+00:00,Friday,May,3,2013,16,5,4,2013,GRAND LARCENY OF MOTOR VEHICLE,FELONY,E,70,BROOKLYN,N.Y. POLICE DEPT,992939,169781,,,,,793172
795841,401ea97d,2013-05-11T12:00:00+00:00,Saturday,May,11,2013,12,5,24,2013,GRAND LARCENY,FELONY,H,19,MANHATTAN,N.Y. POLICE DEPT,996633,220135,,,,,795841
793175,3a72ecb8,2013-05-03T16:40:00+00:00,Friday,May,3,2013,16,5,3,2013,FELONY ASSAULT,FELONY,J,113,QUEENS,N.Y. POLICE DEPT,1050280,190018,,,,,793175
795844,7520a7f5,2013-05-11T12:30:00+00:00,Saturday,May,11,2013,12,5,11,2013,GRAND LARCENY,FELONY,G,19,MANHATTAN,N.Y. POLICE DEPT,994709,218899,,,,,795844
793178,e9df1b63,2013-05-03T17:00:00+00:00,Friday,May,3,2013,17,5,4,2013,GRAND LARCENY,FELONY,K,61,BROOKLYN,N.Y. POLICE DEPT,996989,161687,,,,,793178
794325,fdd4a3c3,2011-10-28T02:54:00+00:00,Friday,Oct,28,2011,2,2,9,2012,GRAND LARCENY,FELONY,A,34,MANHATTAN,N.Y. POLICE DEPT,1003665,248822,,,,,794325
